#	0									
#	Id		Name	BagId	Model	ClickEffectId	SoundId	Num	Power	StroyID
#	int		string	int	string	int	int	int	int	int
#	物品编号	策划备注	物品名称	背包物品Id	物品所属背景	消失特效编号	点击声音编号	类型	能量值	故事id
	10000	知识点物品1	短袖	20000	SuShe	70004	10000	1	3	10001
	10001		钥匙	20001	SuShe	70004	10001	1	3	10001
	10002		碗	20002	ShiTang	70004	10001	1	3	10002
	10003		红宝石	20003	SuShe	70004	10001	1	3	10005
	10004		课桌	20004	JiaoShi	70004	10001	1	3	10008
	10005		抹布	20005	SuShe	70004	10001	1	3	10009
	10006		降解袋	20006	SuShe	70004	10001	1	3	10009
	10007		报警器	20007	CaoChang	70004	10000	1	3	10010
	10008		灭火器	20008	CaoChang	70004	10001	1	3	10010
	10009		校牌	20009	CaoChang	70004	10001	1	3	10011
	10010		校牌	20010	CaoChang	70004	10001	1	3	10011
	10011		毛刷笔	20011	CaoChang	70004	10001	1	3	10012
	10012		饭卡	20012	ShiTang	70004	10001	1	3	10015
	10013		保温杯	20013	ShiTang	70004	10001	2	3	10015
	10014		减脂餐	20014	shiTang	70004	10001	1	3	10016
	10015		羽毛球	20015	JiaoShi	70004	10001	1	3	10017
	10016		睡衣	20016	linYinLu	70004	10001	1	3	10019
	10017		体重秤	20017	linYinLu	70004	10001	1	3	10019
	10018		木棒针	20018	SuShe	70004	10001	1	3	10020
	10019		毛线	20019	SuShe	70004	10001	1	3	10020
	10020		扑克牌	20020	SuShe	70004	10001	1	3	10021
	10021		眼影	20021	SuShe	70004	10001	1	3	10023
	10022		屏蔽器	20022	JiaoShi	70004	10001	1	3	10025
	10023		银戒指	20023	SuShe	70004	10001	1	3	10026
	10024		哑铃	20024	CaoChang	70004	10000	1	3	10028
	10025		帆布包	20025	linYinLu	70004	10001	1	3	10029
	10026		挂锁	20026	SuShe	70004	10001	1	3	10030
	10027		电脑	20027	SuShe	70004	10001	1	3	10030
	10028		游戏卡带	20028	SuShe	70004	10001	1	3	10030
	10029		抱枕	20029	JiaoShi	70004	10001	1	3	10031
	10030		304筷子	20030	JiaoShi	70004	10001	1	3	10031
	10031		口红	20031	SuShe	70004	10001	1	3	10006
	10032		拐杖	20032	JiaoShi	70004	10001	1	3	10008
